epoch,n_samples,samples_file,IsPositive,LogLikelihood,WassersteinDistance
0,500,gaussian_generated_epoch_0000.csv,-1.0,-28.291748046875,0.010086127556860447
1,500,gaussian_generated_epoch_0001.csv,-1.0,-33.72111511230469,0.011064448393881321
2,500,gaussian_generated_epoch_0002.csv,1.0,-37.96108627319336,0.012189364060759544
3,500,gaussian_generated_epoch_0003.csv,-1.0,-39.369171142578125,0.011972049251198769
4,500,gaussian_generated_epoch_0004.csv,-1.0,-33.889259338378906,0.010955044999718666
5,500,gaussian_generated_epoch_0005.csv,-1.0,-28.475900650024414,0.009971989318728447
6,500,gaussian_generated_epoch_0006.csv,-1.0,-23.474674224853516,0.009011584334075451
7,500,gaussian_generated_epoch_0007.csv,-1.0,-19.104570388793945,0.008086370304226875
8,500,gaussian_generated_epoch_0008.csv,-1.0,-16.028215408325195,0.007362026255577803
9,500,gaussian_generated_epoch_0009.csv,-1.0,-15.235677719116211,0.007100405637174845
10,500,gaussian_generated_epoch_0010.csv,-1.0,-16.264888763427734,0.007127820048481226
11,500,gaussian_generated_epoch_0011.csv,1.0,-16.0228328704834,0.0071031758561730385
12,500,gaussian_generated_epoch_0012.csv,1.0,-13.329195022583008,0.0071056801825761795
13,500,gaussian_generated_epoch_0013.csv,1.0,-10.72392463684082,0.0072508021257817745
14,500,gaussian_generated_epoch_0014.csv,1.0,-8.265704154968262,0.007601491175591946
15,500,gaussian_generated_epoch_0015.csv,1.0,-6.055939674377441,0.008177905343472958
16,500,gaussian_generated_epoch_0016.csv,1.0,-4.375514030456543,0.008894247934222221
17,500,gaussian_generated_epoch_0017.csv,1.0,-3.2707202434539795,0.009705737233161926
18,500,gaussian_generated_epoch_0018.csv,1.0,-2.7395236492156982,0.010560868307948112
19,500,gaussian_generated_epoch_0019.csv,1.0,-2.8082900047302246,0.011411361396312714
20,500,gaussian_generated_epoch_0020.csv,1.0,-3.51436185836792,0.012219562195241451
21,500,gaussian_generated_epoch_0021.csv,1.0,-4.38615608215332,0.012824411503970623
22,500,gaussian_generated_epoch_0022.csv,1.0,-4.132869243621826,0.012573223561048508
23,500,gaussian_generated_epoch_0023.csv,1.0,-3.7576115131378174,0.01189802959561348
24,500,gaussian_generated_epoch_0024.csv,1.0,-3.163102149963379,0.01087172981351614
25,500,gaussian_generated_epoch_0025.csv,1.0,-3.0575735569000244,0.00993642769753933
26,500,gaussian_generated_epoch_0026.csv,1.0,-3.715181350708008,0.009314978495240211
27,500,gaussian_generated_epoch_0027.csv,1.0,-5.226372241973877,0.009065322577953339
28,500,gaussian_generated_epoch_0028.csv,1.0,-7.311554431915283,0.00920672807842493
29,500,gaussian_generated_epoch_0029.csv,1.0,-7.691664695739746,0.009636497125029564
30,500,gaussian_generated_epoch_0030.csv,1.0,-5.299506664276123,0.00934620015323162
31,500,gaussian_generated_epoch_0031.csv,1.0,-4.410453796386719,0.009003253653645515
32,500,gaussian_generated_epoch_0032.csv,1.0,-4.622941493988037,0.008778607472777367
33,500,gaussian_generated_epoch_0033.csv,1.0,-5.754077911376953,0.008596861734986305
34,500,gaussian_generated_epoch_0034.csv,1.0,-7.090680122375488,0.008501369506120682
35,500,gaussian_generated_epoch_0035.csv,1.0,-6.926459789276123,0.008777097798883915
36,500,gaussian_generated_epoch_0036.csv,1.0,-5.220382213592529,0.009202832356095314
37,500,gaussian_generated_epoch_0037.csv,1.0,-3.834672451019287,0.009472982957959175
38,500,gaussian_generated_epoch_0038.csv,1.0,-3.0665078163146973,0.009769358672201633
39,500,gaussian_generated_epoch_0039.csv,1.0,-3.0081787109375,0.010215249843895435
40,500,gaussian_generated_epoch_0040.csv,1.0,-3.9106907844543457,0.010752443224191666
41,500,gaussian_generated_epoch_0041.csv,1.0,-6.370720386505127,0.010696576908230782
42,500,gaussian_generated_epoch_0042.csv,1.0,-9.660914421081543,0.009787704795598984
43,500,gaussian_generated_epoch_0043.csv,1.0,-8.290353775024414,0.00880877859890461
44,500,gaussian_generated_epoch_0044.csv,1.0,-7.45815896987915,0.008118980564177036
45,500,gaussian_generated_epoch_0045.csv,1.0,-6.976215839385986,0.007855032570660114
46,500,gaussian_generated_epoch_0046.csv,1.0,-6.215531826019287,0.00811063963919878
47,500,gaussian_generated_epoch_0047.csv,1.0,-4.917141437530518,0.008825799450278282
48,500,gaussian_generated_epoch_0048.csv,1.0,-3.611952066421509,0.00966309942305088
49,500,gaussian_generated_epoch_0049.csv,1.0,-2.8395774364471436,0.010035628452897072
