epoch,generator_type,run_id,n_samples,LogLikelihood,KLDivergence,MMD,Wasserstein,run_type
0,quantum_samples,76fbda7f2fda42d19d97bea9a072deda,500,-22.398326873779297,-0.03540894016623497,0.5605148673057556,1.214867120373249,quantum
1,quantum_samples,76fbda7f2fda42d19d97bea9a072deda,500,-21.822420120239258,-0.03579439967870712,0.6941462755203247,0.48814431332051755,quantum
2,quantum_samples,76fbda7f2fda42d19d97bea9a072deda,500,-22.26956558227539,-0.03613068535923958,0.6671772599220276,0.3128532499492169,quantum
3,quantum_samples,76fbda7f2fda42d19d97bea9a072deda,500,-23.046077728271484,-0.03814801201224327,0.6950737833976746,0.3588252499759198,quantum
0,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-16.66667938232422,-0.024745561182498932,0.61275315284729,1.193675082465634,classical
1,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-20.375207901000977,-0.03252904862165451,0.63493812084198,0.5551427765548229,classical
2,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-22.75347328186035,-0.03739044815301895,0.6698339581489563,0.6441382499605418,classical
3,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-22.57635498046875,-0.03699909523129463,0.6814356446266174,0.40343020922839645,classical
4,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-23.163164138793945,-0.03804273530840874,0.6685793995857239,0.42959900793582206,classical
5,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-23.409523010253906,-0.03892339766025543,0.6941865086555481,0.3950828039586544,classical
6,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-21.389741897583008,-0.03474888578057289,0.6777819395065308,0.26372209443747996,classical
7,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-23.23145294189453,-0.038512393832206726,0.7052651643753052,0.45617380733788027,classical
8,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-22.33049201965332,-0.03654461354017258,0.6885252594947815,0.34863940169662244,classical
9,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-20.537322998046875,-0.03351858630776405,0.6883953809738159,0.31132352455556395,classical
10,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-22.973329544067383,-0.03822238743305206,0.7102986574172974,0.3589072148859501,classical
11,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-21.19964027404785,-0.03468920662999153,0.7080973982810974,0.31982231286168095,classical
12,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-23.667402267456055,-0.039357710629701614,0.7073322534561157,0.35464865459799777,classical
13,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-21.033140182495117,-0.034280020743608475,0.6966479420661926,0.3663570743203163,classical
14,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-23.488754272460938,-0.03902234137058258,0.7075408101081848,0.4936234372854233,classical
15,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-19.030941009521484,-0.030278053134679794,0.6759520769119263,0.35001436485052106,classical
16,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-23.84552574157715,-0.03985977545380592,0.7209118604660034,0.4289267988324167,classical
17,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-17.21995735168457,-0.026808585971593857,0.6671600937843323,0.5345013387680053,classical
18,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-19.67814064025879,-0.0314977802336216,0.6904320120811462,0.3643959215641022,classical
19,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-19.890308380126953,-0.03217330947518349,0.7037973403930664,0.3190658187508584,classical
20,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-23.811960220336914,-0.03980162367224693,0.7190727591514587,0.49296091108918194,classical
21,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-25.132061004638672,-0.042496293783187866,0.7305628061294556,0.5264166055083277,classical
22,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-19.085153579711914,-0.03042423166334629,0.6804208159446716,0.3506356166779995,classical
23,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-21.15618133544922,-0.034596748650074005,0.7006570100784302,0.20136320077776915,classical
24,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-19.51449966430664,-0.03164653852581978,0.691517174243927,0.40305058867931365,classical
25,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-18.232500076293945,-0.02902469038963318,0.6931359171867371,0.420089808744192,classical
26,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-21.38111686706543,-0.034980710595846176,0.6996332406997681,0.19258276061415677,classical
27,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-22.07891082763672,-0.0367145910859108,0.7261353135108948,0.3496552019655705,classical
28,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-21.58051300048828,-0.035257965326309204,0.6940441131591797,0.22519959580302246,classical
29,classical_normal,f8d77c9ce894421bb63a42c6edbf9405,500,-22.043245315551758,-0.03652500733733177,0.7029456496238708,0.2808722257852554,classical
